식당명,Date,Map,Rate,사람,수식,식당 분류,주요 메뉴,지역-대분류,지역-소분류
아비꼬 신촌점,2025-03-30,https://place.map.kakao.com/17735995,🥄🥄,,서울 마포구 : 신촌,"🍚한식, 🍣일식",카레,서울 마포구,신촌
황금오리농장,2025-03-02,https://place.map.kakao.com/2048176933,🥄🥄🥄🥄,,서울 강서구 : 양천향교,🍚한식,오리,서울 강서구,양천향교
쌍굴옻닭,2025-03-23,https://place.map.kakao.com/10068499,🥄🥄🥄🥄🥄,,경기 고양시 : 덕양구,🍚한식,"삼계탕, 옻닭",경기 고양시,덕양구
일식비,2025-03-17,https://place.map.kakao.com/858069008,🥄🥄,,서울 강서구 : 마곡,"🍚한식, 🍣일식",회,서울 강서구,마곡
피제리아더키,2025-03-19,https://place.map.kakao.com/561289275,🥄🥄🥄🥄,,서울 마포구 : 대흥,"🍕피자, 🍝양식",피자,서울 마포구,대흥
가화만사성,2025-03-24,https://place.map.kakao.com/1536467186,🥄,,서울 서대문구 : 신촌,🍜중식,자장면,서울 서대문구,신촌
밀플랜비 서강대점,2025-03-31,https://place.map.kakao.com/960971083,🥄,,서울 마포구 : 대흥,"🌮멕시칸, 🍔패스트푸드",브리또,서울 마포구,대흥
맥도날드 연세대점,2025-03-31,https://place.map.kakao.com/18606733,🥄,,서울 서대문구 : 신촌,🍔패스트푸드,햄버거,서울 서대문구,신촌
한창희천하일면,2025-04-01,https://place.map.kakao.com/670226941,🥄🥄🥄🥄,,서울 마포구 : 대흥,"🍚한식, 🍣일식",고기국수,서울 마포구,대흥
스미비 숯불구이,2025-04-02,https://place.map.kakao.com/399698120,🥄🥄🥄🥄,,서울 마포구 : 연남,"🍣일식, 🍺술집",술집,서울 마포구,연남
정든그릇,2025-04-03,https://place.map.kakao.com/1069804608,🥄🥄🥄,,서울 마포구 : 신촌/대흥,🍣일식,"덮밥, 돈까스, 소바",서울 마포구,신촌/대흥
마포닭곰탕 본점,2025-04-04,https://place.map.kakao.com/17361050,🥄🥄,,서울 마포구 : 대흥,🍚한식,"닭곰탕, 부대찌개",서울 마포구,대흥
솝커피,2025-04-04,https://place.map.kakao.com/817132826,🥄🥄🥄,,서울 마포구 : 연남,☕카페,커피,서울 마포구,연남
양지분식,2025-04-04,https://place.map.kakao.com/21410030,🥄,,서울 마포구 : 대흥,🍚한식,덮밥,서울 마포구,대흥
끼로끼로부엉이,2025-04-05,https://place.map.kakao.com/27383419,🥄🥄🥄🥄🥄,,서울 마포구 : 신촌,🥩고기,"돼지고기, 소고기",서울 마포구,신촌
팔,2025-04-06,https://place.map.kakao.com/1759358358,🥄🥄🥄🥄,,서울 종로구 : 서촌,☕카페,카페,서울 종로구,서촌
적막,2025-04-06,https://place.map.kakao.com/1552691715,🥄🥄🥄🥄,,서울 종로구 : 서촌,"🍚한식, 🍺술집",닭발,서울 종로구,서촌
봉구스밥버거 서강대점,2025-04-07,https://place.map.kakao.com/169029905,🥄🥄,,서울 마포구 : 신촌/대흥,🍚한식,밥버거,서울 마포구,신촌/대흥
크런치샌드위치,2025-04-07,https://place.map.kakao.com/1970402078,🥄🥄🥄,,서울 마포구 : 대흥,🥗샐러드,샌드위치,서울 마포구,대흥
마포쌈밥식당,2025-04-08,https://place.map.kakao.com/1919542306,🥄🥄🥄,,서울 마포구 : 신촌/대흥,🍚한식,쌈밥,서울 마포구,신촌/대흥
샌디 빌리지,2025-04-17,https://place.map.kakao.com/326057387,🥄🥄🥄🥄,,서울 마포구 : 상수,🥗샐러드,"샌드위치, 샐러드",서울 마포구,상수
맘스터치 마포대흥역점,2025-04-09,https://place.map.kakao.com/1679593996,🥄🥄,,서울 마포구 : 대흥,🍔패스트푸드,햄버거,서울 마포구,대흥
정월,2025-04-10,https://place.map.kakao.com/131878421,🥄🥄🥄,,서울 마포구 : 대흥,🍜중식,"자장면, 짬뽕, 탕수육",서울 마포구,대흥
한신우동 서강대점,2025-04-11,https://place.map.kakao.com/1490753915,🥄🥄🥄,,서울 마포구 : 대흥,"🍚한식, 🍣일식","돈까스, 우동",서울 마포구,대흥
만조,2025-04-11,https://place.map.kakao.com/1773422199,🥄🥄🥄🥄🥄,,서울 용산구 : 해방촌,🍺술집,뭉티기,서울 용산구,해방촌
보마,2025-04-11,https://place.map.kakao.com/415009738,🥄🥄🥄🥄,,서울 용산구 : 녹사평,🍺술집,술집,서울 용산구,녹사평
카라멘야,2025-04-12,https://place.map.kakao.com/1025832828,🥄🥄🥄🥄🥄,,서울 서대문구 : 신촌,🍣일식,라멘,서울 서대문구,신촌
써브웨이 서강대점,2025-04-12,https://place.map.kakao.com/223880589,🥄🥄,,서울 마포구 : 대흥,🥗샐러드,샌드위치,서울 마포구,대흥
함반,2025-04-13,https://place.map.kakao.com/2114131901,🥄🥄🥄🥄🥄,,서울 마포구 : 합정,"🍚한식, 🍣일식",함박,서울 마포구,합정
옥정,2025-04-14,https://place.map.kakao.com/1048556062,🥄🥄🥄🥄,,서울 마포구 : 대흥,🍚한식,만두국,서울 마포구,대흥
노랑통닭 광흥창점,2025-04-14,https://place.map.kakao.com/868374193,🥄🥄,,서울 마포구 : 광흥창,🍗치킨,치킨,서울 마포구,광흥창
거북이의 주방,2025-04-15,https://place.map.kakao.com/1401663204,🥄🥄🥄🥄,,서울 마포구 : 신촌,🍣일식,카레,서울 마포구,신촌
롯데리아 대흥역점,2025-04-21,https://place.map.kakao.com/20012019,🥄,,서울 마포구 : 대흥,🍔패스트푸드,햄버거,서울 마포구,대흥
한창희천하일면,2025-04-16,https://place.map.kakao.com/670226941,🥄🥄🥄🥄,,서울 마포구 : 대흥,"🍚한식, 🍣일식",고기국수,서울 마포구,대흥
봉구스밥버거 서강대점,2025-04-16,https://place.map.kakao.com/169029905,🥄🥄,,서울 마포구 : 신촌/대흥,🍚한식,밥버거,서울 마포구,신촌/대흥
샌디 빌리지,2025-04-08,https://place.map.kakao.com/326057387,🥄🥄🥄🥄,,서울 마포구 : 상수,🥗샐러드,"샌드위치, 샐러드",서울 마포구,상수
광주똑순이아구찜,2025-04-18,https://place.map.kakao.com/27501934,🥄🥄🥄🥄🥄,,서울 강서구 : 발산,🍚한식,아구찜,서울 강서구,발산
오토김밥 마곡점,2025-04-19,https://place.map.kakao.com/1184366929,🥄🥄🥄🥄,,서울 강서구 : 마곡,🍚한식,김밥,서울 강서구,마곡
수다떠는오징어 호평본점,2025-04-19,https://place.map.kakao.com/2133364335,🥄🥄🥄,,경기 남양주 : 평내호평,"🍚한식, 🍺술집",회,경기 남양주,평내호평
원조뼈다귀감자탕 본점,2025-04-20,https://place.map.kakao.com/16187584,🥄🥄🥄,,경기 남양주 : 평내호평,🍚한식,감자탕,경기 남양주,평내호평
마포마두 대흥점,2025-04-13,https://place.map.kakao.com/12755600,🥄🥄🥄,,서울 마포구 : 대흥,"🍙분식, 🍚한식","떡볶이, 만두, 오뎅",서울 마포구,대흥
파친코,2025-04-21,https://place.map.kakao.com/1142997501,🥄🥄🥄🥄,,서울 용산구 : 용산,🍺술집,술집,서울 용산구,용산
빈카이브,2025-04-20,https://place.map.kakao.com/1520120363,🥄🥄🥄🥄🥄,,서울 서대문구 : 이대,🥗샐러드,샌드위치,서울 서대문구,이대
롯데리아 대흥역점,2025-04-15,https://place.map.kakao.com/20012019,🥄,,서울 마포구 : 대흥,🍔패스트푸드,햄버거,서울 마포구,대흥
용싸키친,2025-04-22,https://place.map.kakao.com/15526292,🥄🥄,,서울 마포구 : 대흥,🍚한식,일본식주점,서울 마포구,대흥
런커피,2025-04-16,https://place.map.kakao.com/1356232146,🥄🥄🥄🥄🥄,,서울 마포구 : 홍대,☕카페,카페,서울 마포구,홍대
소구장,2025-04-22,https://place.map.kakao.com/1781711138,🥄🥄🥄,,서울 마포구 : 대흥,"🍙분식, 🍚한식","떡볶이, 튀김",서울 마포구,대흥
연리희재,2025-04-23,https://place.map.kakao.com/2034540788,🥄🥄🥄🥄,,경기 수원 : 광교,☕카페,개성주악,경기 수원,광교
갈비명가서서갈비 수원본점,2025-04-23,https://place.map.kakao.com/916627053,🥄🥄,,경기 수원 : 팔달구,"🍚한식, 🥩고기",돼지갈비,경기 수원,팔달구
2층술집,2025-04-23,https://place.map.kakao.com/410812230,🥄🥄🥄,,경기 수원 : 팔달구,🍺술집,술집,경기 수원,팔달구
심야식당선,2025-04-23,https://place.map.kakao.com/808030640,🥄🥄🥄🥄,,경기 수원 : 팔달구,🍺술집,술집,경기 수원,팔달구
미즈컨테이너 광교갤러리아,2025-04-24,https://place.map.kakao.com/1832557951,🥄🥄🥄🥄,,경기 수원 : 광교,🍝양식,"파스타, 피자",경기 수원,광교
용성통닭 본점,2025-04-24,https://place.map.kakao.com/8022147,🥄🥄🥄🥄🥄,,경기 수원 : 팔달구,🍗치킨,치킨,경기 수원,팔달구
역전할머니맥주 수원인계점,2025-04-24,https://place.map.kakao.com/116196120,🥄🥄🥄,,경기 수원 : 팔달구,🍺술집,술집,경기 수원,팔달구
숯토리 수원인계점,2025-04-24,https://place.map.kakao.com/768133196,🥄🥄🥄🥄,,경기 수원 : 팔달구,🍺술집,술집,경기 수원,팔달구
아웃백 광교갤러리아,2025-04-25,https://place.map.kakao.com/1681181343,🥄🥄🥄,,경기 수원 : 광교,🍝양식,"스테이크, 파스타",경기 수원,광교
시시비비,2025-04-27,https://place.map.kakao.com/490006660,🥄🥄🥄🥄🥄,,서울 동작구 : 사당,"🍚한식, 🍺술집",술집,서울 동작구,사당
보어드앤헝그리,2025-04-28,https://place.map.kakao.com/108492868,🥄🥄🥄🥄🥄,,서울 마포구 : 대흥,🍔패스트푸드,햄버거,서울 마포구,대흥
곤자가컨벤션,2025-04-29,https://place.map.kakao.com/8231583,🥄,,서울 마포구 : 대흥,"🍚한식, 🍽️뷔페",뷔페,서울 마포구,대흥
엄마애밥상,2025-04-29,https://place.map.kakao.com/980558746,🥄🥄,,서울 마포구 : 마포구청,🍚한식,"덮밥, 도시락",서울 마포구,마포구청
롤앤롤 김밥,2025-04-30,https://place.map.kakao.com/1581143656,🥄🥄🥄,,서울 마포구 : 대흥,🍚한식,김밥,서울 마포구,대흥
옥오꼬노미야끼,2025-04-30,https://place.map.kakao.com/651011450,🥄🥄🥄🥄🥄,,서울 마포구 : 합정,🍣일식,오꼬노미야끼,서울 마포구,합정
락희돈,2025-04-30,https://place.map.kakao.com/814587106,🥄🥄🥄🥄🥄,,"서울 마포구 : 연남,홍대",🍺술집,"꼬치, 일본식주점",서울 마포구,"연남, 홍대"
동대문엽기떡볶이 신촌점,2025-05-01,https://place.map.kakao.com/17764441,🥄🥄,,서울 서대문구 : 신촌,🍙분식,떡볶이,서울 서대문구,신촌
포케올데이 홍대점,2025-05-01,https://place.map.kakao.com/1279060792,🥄🥄🥄,,서울 마포구 : 홍대,🥗샐러드,포케,서울 마포구,홍대
킹콩부대찌개 마포대흥오남매행복점,2025-05-02,https://place.map.kakao.com/1744462722,🥄🥄,,서울 마포구 : 신촌/대흥,🍚한식,부대찌개,서울 마포구,신촌/대흥
KFC 발산역점,2025-05-02,https://place.map.kakao.com/1725139526,🥄🥄,,서울 강서구 : 발산,🍔패스트푸드,햄버거,서울 강서구,발산
제도,2025-05-03,https://kko.kakao.com/S-03s0aAEH,🥄🥄🥄🥄🥄,,서울 종로구 : 부암,☕카페,"커피, 푸딩",서울 종로구,부암
음음,2025-05-03,https://place.map.kakao.com/42264893,🥄🥄🥄🥄🥄,,서울 종로구 : 인사,🍝양식,파스타,서울 종로구,인사
트레디어스 홀세일 클럽 마곡점,2025-06-01,https://place.map.kakao.com/1140314024,🥄🥄,,서울 강서구 : 마곡,"🍔패스트푸드, 🍕피자",피자,서울 강서구,마곡
안자네밥상,2025-05-29,https://place.map.kakao.com/1266581709,🥄🥄🥄🥄🥄,,전남 여수 : 여수,🍚한식,"간장게장, 갈치조림",전남 여수,여수
백년유자 여수점,2025-05-29,https://place.map.kakao.com/1650221658,🥄🥄🥄🥄,,전남 여수 : 여수,☕카페,카페,전남 여수,여수
낭만한잔79포차,2025-05-29,https://place.map.kakao.com/1676638559,🥄🥄🥄🥄🥄,,전남 여수 : 여수,🍺술집,돌문어삼합,전남 여수,여수
